id,number,title,code_blocks,labels_raw,component,type,priority,state,created_at,closed_at,resolution_hours,author,num_comments,num_assignees,repo,res_bucket,tfidf_top1,tfidf_top1_conf,tfidf_top2,tfidf_top2_conf,tfidf_top3,tfidf_top3_conf,bge_similar_1,bge_similar_1_score,bge_similar_2,bge_similar_2_score,bge_similar_3,bge_similar_3_score,stratum,label_status,body_excerpt
133233412,2965,[folding] incorrect folding region when folding vscode.d.ts,,['bug' 'verified' 'editor-folding'],editor-folding,bug,,closed,2016-02-12 12:52:17+00:00,2016-02-12 17:07:42+00:00,4.256944444444445,egamma,1,1,microsoft/vscode,hours,editor-folding,0.5355,l10n-platform,0.0425,suggest,0.0347,4736,0.8456,4968,0.8293,3307,0.8277,vsc-hours-editor-folding,pending,"pls see the screenshot.

The comment [INLINE_CODE] shows as collapsed and folded but it isn't.

![image](https://cloud.githubusercontent.com/assets/172399/13007297/aace840a-d18f-11e5-9119-7aaf41c5af2d.png)"
128465882,2213,"How exactly do I download a repository if there's no ""initialize"" button?",,['*question' 'git'],git,,,closed,2016-01-25 05:21:53+00:00,2016-01-25 10:54:37+00:00,5.545555555555556,ghost,1,1,microsoft/vscode,hours,install-update,0.083,suggest,0.0712,debug,0.0487,1508,0.7536,3663,0.7523,3592,0.7497,vsc-hours-git,pending,"Hi, 

Sorry for the newbie question. I'm following this tutorial (http://michaelcrump.net/using-github-with-visualstudio-code/) and others too but all of them assume that there is a ""Initialize"" button on my Visual Studio Code. 
http://michaelcrump.net/files/addtogitvscode.jpg

However mine doesn't "
129725011,2531,Messages are not announced to screen reader,,['bug' 'verified' 'accessibility'],accessibility,bug,,closed,2016-01-29 10:21:30+00:00,2016-02-01 08:14:26+00:00,69.88222222222223,jrieken,2,1,microsoft/vscode,days,accessibility,0.2811,debug,0.0764,file-explorer,0.0552,3408,0.7521,2941,0.7487,3363,0.7327,vsc-days-accessibility,pending,"- open F1
- select Debug: Continue
- message appears that saying I am not debugging but explorer has focus, message isn't read"
141937429,4432,Sorting installed extensions,,['extensions' '*duplicate'],extensions,,,closed,2016-03-18 18:00:26+00:00,2016-03-22 12:00:17+00:00,89.9975,vsccarl,2,1,microsoft/vscode,days,extensions,0.377,l10n-platform,0.085,suggest,0.0707,4337,0.8276,4621,0.8155,4624,0.8088,vsc-days-extensions,pending,"- VSCode Version: 0.10.12-alpha
- OS Version: Windows 10

Steps to Reproduce:
1. F1 -> Show installed extensions

Actual:
Extensions sorted by number of downloads

Expected:
Extensions sorted by name. If this is by design, it would be nice to have an option to sort them by name if possible."
146106717,4982,Do not ask to save for dirty files on delete,,['bug' 'verified' 'file-explorer'],file-explorer,bug,,closed,2016-04-05 21:08:48+00:00,2016-04-07 06:27:18+00:00,33.30833333333333,vsccarl,2,1,microsoft/vscode,days,file-explorer,0.2276,suggest,0.0862,extensions,0.0515,4984,0.8923,1538,0.8485,4137,0.8393,vsc-days-file-explorer,pending,"- VSCode Version: 0.10.12-alpha (latest)
- OS Version: Windows 10

Steps to Reproduce:
1. Modify a file and do not save
2. Delete the file

Actual:
Confirmation that you want to delete shows up, then after it asks if you would like to save the file.

Expected:
No confirmation asking if you would lik"
137637251,3595,Create rpm package,,['verified' 'install-update' 'linux'],install-update,,,closed,2016-03-01 17:27:58+00:00,2016-03-07 20:36:57+00:00,147.1497222222222,Tyriar,5,1,microsoft/vscode,days,install-update,0.1373,suggest,0.062,debug,0.0491,2679,0.7811,4041,0.7808,229,0.7596,vsc-days-install-update,pending,Related #1056
144828135,4818,Translations are missing key SelectStartMenuFolderBrowseLabel for file Default.isl,,['bug' 'important' 'verified' 'l10n-platform' 'candidate'],l10n-platform,bug,,closed,2016-03-31 08:42:19+00:00,2016-04-05 06:57:41+00:00,118.25611111111111,dbaeumer,5,1,microsoft/vscode,days,l10n-platform,0.1156,suggest,0.0765,file-explorer,0.0526,4611,0.776,4275,0.7573,4549,0.753,vsc-days-l10n-platform,pending,The translations are missing a proper translation for the key SelectStartMenuFolderBrowseLabel in file vscode-distro\build\tfs\win32\i18n\Default.resx.lcg. The item is still in English in all translations.
130004846,2569,Associate .cson with CoffeeScript,,['languages-basic'],languages-basic,,,closed,2016-01-30 16:16:43+00:00,2016-02-01 13:50:07+00:00,45.556666666666665,Tyriar,3,1,microsoft/vscode,days,suggest,0.0655,languages-basic,0.0559,debug,0.0531,2568,0.8264,2460,0.6967,311727,0.6851,vsc-days-languages-basic,pending,Fixes #2568
123095541,1481,Markdown preview does not show a SVG image,,['bug' 'verified' 'markdown'],markdown,bug,,closed,2015-12-19 16:15:38+00:00,2015-12-24 15:19:16+00:00,119.06055555555555,ErikSchierboom,6,1,microsoft/vscode,days,markdown,0.4283,suggest,0.0458,workbench-editors,0.0439,2210,0.8452,803,0.8215,4481,0.8028,vsc-days-markdown,pending,"Currently, when I include an SVG image in my Markdown file, the preview window does not correctly display it. Would be great if it did."
3797725507,286776,Git Source Control Graph tree doesn't expand for some entries,,['bug' 'candidate' 'scm' 'unreleased'],scm,bug,,closed,2026-01-09 17:18:39+00:00,2026-01-12 16:44:19+00:00,71.42777777777778,yurkovych,5,1,microsoft/vscode,days,git,0.1101,typescript,0.0572,debug,0.0554,311189,0.7781,1844,0.7644,210,0.7516,vsc-days-scm,pending,"Does this issue occur when all extensions are disabled?: Yes

- VS Code Version: 1.108
- OS Version: Windows 10

In Git Source Control Graph tree some entires don't expand. I can't describe logic of bug for certain, just when there are many commited files it glitches. Like below ~12 all is fine. 

I"
2836292767,239838,VSCode freezes when opening a terminal,,"['important' 'freeze-slow-crash-leak' 'candidate' 'terminal' 'gpu'
 'unreleased']",terminal,,,closed,2025-02-06 18:30:33+00:00,2025-02-12 13:10:02+00:00,138.65805555555556,anrikun,82,3,microsoft/vscode,days,electron,0.0721,install-update,0.0692,typescript,0.067,311834,0.8514,312633,0.8328,311145,0.8318,vsc-days-terminal,pending,"Does this issue occur when all extensions are disabled? **Yes**

- VS Code Version: 
Version: 1.97.0 (user setup)
Commit: 33fc5a94a3f99ebe7087e8fe79fbe1d37a251016
Date: 2025-02-04T22:41:26.688Z
Electron: 32.2.7
ElectronBuildId: 10660205
Chromium: 128.0.6613.186
Node.js: 20.18.1
V8: 12.8.374.38-elect"
129777394,2543,[themes] Two themse are marked as default. Why?,,['bug' 'verified' 'themes'],themes,bug,,closed,2016-01-29 14:15:07+00:00,2016-02-01 10:02:14+00:00,67.78527777777778,dbaeumer,4,1,microsoft/vscode,days,themes,0.1585,json,0.1286,ux,0.0631,2564,0.81,4056,0.7857,3279,0.7776,vsc-days-themes,pending,![capture](https://cloud.githubusercontent.com/assets/1931590/12677693/12b80cee-c69b-11e5-8de4-2d61d04998e5.png)
136026964,3401,[folding] Setting `editor.folding` to `false` should expand all folded regions,,['bug' 'verified' 'editor-folding'],editor-folding,bug,,closed,2016-02-24 11:05:29+00:00,2016-02-25 13:35:18+00:00,26.496944444444445,joaomoreno,1,1,microsoft/vscode,days,editor-folding,0.5729,suggest,0.0506,ux,0.0317,3486,0.8659,4069,0.8033,4005,0.7964,vsc-days-editor-folding,pending,"Testing #2994

![bug](https://cloud.githubusercontent.com/assets/22350/13283604/e005526c-daee-11e5-9f23-fb1702f8d0c5.gif)"
2836812205,239862,Native context menu hijacks custom one in webview editor,"```
vsliv368:30146709
vspor879:30202332
vspor708:30202333
vspor363:30204092
vscod805cf:30301675
binariesv615:30325510
vsaa593:30376534
py29gd2263:31024239
c4g48928:30535728
azure-dev_surveyone:30548225
2i9eh265:30646982
962ge761:30959799
pythonnoceb:30805159
pythonmypyd1:30879173
h48ei257:31000450
pythontbext0:30879054
cppperfnew:31000557
dwnewjupyter:31046869
nativerepl1:31139838
pythonrstrctxt:31112756
nativeloc2:31192216
iacca1:31171482
5fd0e150:31155592
dwcopilot:31170013
stablechunks:31184530
6074i472:31201624
customenabled:31232589
8did9651:31230678
9064b325:31222308
copilot_t_ci:31222730

```","['bug' 'verified' 'candidate' 'electron' 'confirmed' 'regression'
 'unreleased']",electron,bug,,closed,2025-02-06 23:08:52+00:00,2025-02-12 08:55:23+00:00,129.77527777777777,dvdrtrgn,16,1,microsoft/vscode,days,electron,0.7506,git,0.0251,suggest,0.0189,312492,0.7961,310879,0.7896,311930,0.7772,vsc-days-electron,pending,"Type: <b>Bug</b>

VS code january... 

Open Git Graph and right-click an item. 

The context menu shows only text operations.

VS Code version: Code 1.97.0 (Universal) (33fc5a94a3f99ebe7087e8fe79fbe1d37a251016, 2025-02-04T22:41:26.688Z)
OS version: Darwin arm64 23.6.0
Modes:

<details>
<summary>Syst"
140692744,4167,Mac: Recent files should be split into files and folders,,['feature-request' 'file-explorer'],file-explorer,feature-request,,closed,2016-03-14 14:40:05+00:00,2016-03-24 16:12:25+00:00,241.5388888888889,joaomoreno,2,1,microsoft/vscode,weeks,electron,0.0853,ux,0.081,suggest,0.0732,342,0.7566,1662,0.7544,1098,0.7453,vsc-weeks-file-explorer,pending,"I love [INLINE_CODE], am using it left and right. The problem is that all those files are occupying space in my **Recent** list... My most common workspaces don't even show up anymore after a few simple file edits.

![image](https://cloud.githubusercontent.com/assets/22350/13747951/f994e59c-e9fa-11e"
144731448,4806,[html] Prevent single line auto-formatting for html attributes,"```
<div ng-repeat=""item in items""
     ng-class=""item.classes""
     ng-init=""i = $index"">
</div>
```

```
<div ng-repeat=""item in items"" ng-class=""item.classes"" ng-init=""i = $index"">
</div>
```",['feature-request' 'html'],html,feature-request,,closed,2016-03-30 21:56:44+00:00,2016-04-25 10:45:17+00:00,612.8091666666667,parliament718,3,1,microsoft/vscode,weeks,html,0.2494,suggest,0.0676,api,0.0441,2204,0.8399,4409,0.7977,2044,0.7892,vsc-weeks-html,pending,"Is there any way to prevent Visual Studio form auto-formatting html onto one line? 

For example

[CODE_BLOCK]

Gets auto-formatted to:

[CODE_BLOCK]

This seems unreasonably opinionated, especially since many frameworks these days take advantage of element attributes. It's not nice to have 5+ attri"
140695496,4170,Provide a setting to define the `locale`,,['feature-request' 'verified' 'l10n-platform' 'candidate'],l10n-platform,feature-request,,closed,2016-03-14 14:49:18+00:00,2016-03-22 15:19:19+00:00,192.50027777777777,egamma,25,1,microsoft/vscode,weeks,l10n-platform,0.0691,file-explorer,0.0662,suggest,0.057,4118,0.8365,4592,0.8173,4522,0.8039,vsc-weeks-l10n-platform,pending,"I can configure the locale on the command line using --locale. The issue is that the setting can easily be lost since Code launches Code again without this command line setting, e.g., after an auto update or after installing an extension.

In addition, a setting is more user friendly than a command "
123527103,1583,[python] Disassociate .gn with python language,,['bug' 'verified' 'languages-basic'],languages-basic,bug,,closed,2015-12-22 17:49:28+00:00,2016-01-11 15:28:29+00:00,477.6502777777778,Tyriar,1,1,microsoft/vscode,weeks,languages-basic,0.169,markdown,0.0495,javascript,0.0491,2563,0.693,1467,0.6924,4546,0.6902,vsc-weeks-languages-basic,pending,"While Python worked well with GN in v0.10.3, since then the progress made with
the Python language syntax highlighting doesn't play well with the extra quirks
on top of Python that GN introduces (braces, no colons to indicate blocks).
Making it less usable than no language mode."
139107091,3786,poor syntax highlighting for javascript/react files,,['themes'],themes,,,closed,2016-03-07 21:55:53+00:00,2016-03-17 09:51:40+00:00,227.9297222222222,luisrudge,5,1,microsoft/vscode,weeks,languages-basic,0.1212,javascript,0.0768,themes,0.0737,4210,0.8422,3610,0.8389,4061,0.8382,vsc-weeks-themes,pending,"Code looks like a plain text file, until it parses the [INLINE_CODE] jsx tags. Atom has way more visual information about the syntax. Is there anything missing? Is this a bug?

![2016-03-07 18_51_50-changepasswordcontainer jsx - cis-v2-frontend - visual studio code](https://cloud.githubusercontent.c"
136657370,3484,[folding] Expand action should restore cursor position inside folded region iff cursor didn't change since fold action,,['feature-request' 'verified' 'editor-folding'],editor-folding,feature-request,,closed,2016-02-26 10:32:03+00:00,2016-03-08 16:00:24+00:00,269.4725,joaomoreno,1,1,microsoft/vscode,weeks,editor-folding,0.3875,suggest,0.0622,api,0.0439,3400,0.8835,3403,0.8517,3398,0.8462,vsc-weeks-editor-folding,pending,"Confusing, but let me elaborate. Before #3400, I could run [INLINE_CODE] [INLINE_CODE] [INLINE_CODE] actions in a deeply nested folding region and then [INLINE_CODE] [INLINE_CODE] [INLINE_CODE] and my cursor would return back to the original position.

Although #3400 is the good fix, it did remove t"
133444750,2995,[json] [0.10.8] Wrapping JSON with double quotes replaces the text,,['bug' 'verified' 'json'],json,bug,,closed,2016-02-13 16:08:38+00:00,2016-02-22 09:31:44+00:00,209.385,jalendrum,2,1,microsoft/vscode,weeks,json,0.0949,suggest,0.0733,languages-basic,0.0641,3641,0.7785,874,0.7769,2445,0.7615,vsc-weeks-json,pending,"In <= 0.10.5, you could highlight text in a JSON file and wrap it in double quotes:

![wrap_0105](https://cloud.githubusercontent.com/assets/16483697/13028604/7fc9452e-d26b-11e5-9894-0569c23296e6.gif)

In 0.10.8, the highlighted text is now replaced with a double quote rather than wrapped:

![wrap_0"
139208277,3815,[php] autocomplete is not showing user variables,,['bug' 'important' 'verified' 'php'],php,bug,,closed,2016-03-08 08:09:12+00:00,2016-03-16 14:12:42+00:00,198.05833333333334,h2u,8,1,microsoft/vscode,weeks,suggest,0.1521,php,0.1145,debug,0.0571,161,0.8592,663,0.8126,2461,0.812,vsc-weeks-php,pending,"I don't really understand how it's working. VSCode does not suggest me any of my variables. Only globals as $_COOKIE and etc.
I was trying to type few letters of my variable name and press Ctrl+Space, and it's says ""No suggestions""."
136294110,3444,Python UnicodeEncodeError in output window,,['tasks' '*duplicate'],tasks,,,closed,2016-02-25 06:24:06+00:00,2016-03-09 14:41:49+00:00,320.29527777777776,sun1991,2,1,microsoft/vscode,weeks,tasks,0.1545,api,0.0652,debug,0.0569,377,0.7577,310885,0.7242,3550,0.7218,vsc-weeks-tasks,pending,"[INLINE_CODE]
[INLINE_CODE]

The output in output window is: 
[INLINE_CODE]

Is output window support ASCII only? Or where can I change it?"
122753035,1420,"Unable navigate to file from ""Errors and Warnings"" when errors occur in TypeScript.",,['info-needed' 'typescript' 'verified'],typescript,,,closed,2015-12-17 15:04:47+00:00,2016-01-05 09:15:40+00:00,450.1813888888889,liandaoacc,10,1,microsoft/vscode,weeks,typescript,0.1735,javascript,0.0817,suggest,0.0644,3106,0.8119,3107,0.8104,1390,0.7869,vsc-weeks-typescript,pending,"I followed [Transpiling TypeScript into JavaScript](https://code.visualstudio.com/docs/languages/typescript#_transpiling-typescript-into-javascript), and got an error **Unable to open 'HelloWorld.ts': File not found (e:\SoftwareProgram\Test\E:\SoftwareProgram\Test\HelloWorld.ts)** in step 4 when I c"
118902289,645,Cannot read property 'toString' of undefined,,['error-telemetry'],error-telemetry,,,closed,2015-11-25 19:02:31+00:00,2015-12-11 10:10:16+00:00,375.12916666666666,vscodeerrors,2,1,microsoft/vscode,weeks,error-telemetry,0.7105,suggest,0.0184,javascript,0.0184,656,0.8287,672,0.8157,311073,0.8133,vsc-weeks-error-telemetry,pending,Issue Id: <b>67160aeb-b96f-e291-6bc8-324197f4dcf6</b><br /><br />_Versions_ <br />\- 0.10.1-release<br />_Stack_ <br />[/vs/editor/contrib/parameterHints/browser/parameterHintsModel.ts#L31:37 (hashParameterHints)](https://github.com/microsoft/vscode/blob/df352367df2efcfa9d602d471e4e2f42140a0f05/src/
121806216,1213,tsd mocha does not apply to files past index.js,,['bug' 'javascript'],javascript,bug,,closed,2015-12-11 22:40:46+00:00,2015-12-20 01:14:02+00:00,194.55444444444444,khrome83,1,1,microsoft/vscode,weeks,javascript,0.0922,file-explorer,0.0835,install-update,0.0641,984,0.7303,3701,0.7243,2977,0.7173,vsc-weeks-javascript,pending,"The mocha file for tsd works correctly for the index.js file that is at the root level of the test folder. 

Any nested files within the test folder, as well as any files that are siblings to index.js does not hide the green underline that shows ""can't find it"" or ""can't find describe"". 

Expected t"
127453424,2108,Accessibility,,['plan-item' 'accessibility'],accessibility,,,closed,2016-01-19 14:06:04+00:00,2016-03-01 09:49:52+00:00,1003.73,bpasero,30,1,microsoft/vscode,months,accessibility,0.1301,ux,0.0683,debug,0.0618,2145,0.7962,2304,0.7811,311175,0.7762,vsc-months-accessibility,pending,"We break Accessibility down into multiple chunks of work:
## Issues labeled Accessibility

https://github.com/Microsoft/vscode/labels/accessibility
## Keyboard navigation & Focus indication
- [x] Define central CSS rules for focus indication
- [x] Support navigation in actions and action bars
- [x] "
119211335,751,Allow to save with UTF-8 + BOM encoding,,['feature-request' 'verified' 'file-explorer'],file-explorer,feature-request,,closed,2015-11-27 15:19:12+00:00,2016-03-03 08:01:53+00:00,2320.711388888889,kmpm,13,1,microsoft/vscode,months,file-explorer,0.1071,api,0.0779,suggest,0.0607,4197,0.8967,3575,0.8844,3924,0.869,vsc-months-file-explorer,pending,"In version 0.10.2 I am having issues with making sure a file is saved with UTF-8 and BOM character encoding.

Please add such an option."
141945413,4433,Incorrect font on overall GUI on Japanese environment,,['bug' 'important' 'verified' 'l10n-platform'],l10n-platform,bug,,closed,2016-03-18 18:31:35+00:00,2016-04-18 20:23:52+00:00,745.8713888888889,espresso3389,6,1,microsoft/vscode,months,suggest,0.131,l10n-platform,0.1214,ux,0.0583,4679,0.8128,4628,0.7965,4688,0.7895,vsc-months-l10n-platform,pending,"- VSCode Version:
 0.10.12-insider
- OS Version:
 Windows 10 Build 14291
 Steps to Reproduce:
 -

Basically, VS Code does not use correct Japanese font on VS Code.
It's acceptable on the editor pane if we choose correct font-family.

But recent build introduces Japanese localization on the GUI and
i"
132176274,2793,[grammars] Pluggable syntax highlight engine for templating languages between backticks ``,"``` typescript
@Component({
  selector: 'tabs',
  template: `
    <ul>
      <li>Tab 1</li>
      <li>Tab 2</li>
    </ul>
    <ng-content></ng-content>
  `
})
```",['feature-request' 'verified' 'languages-basic'],languages-basic,feature-request,,closed,2016-02-08 15:43:54+00:00,2016-05-23 20:54:43+00:00,2525.180277777778,alber70g,16,1,microsoft/vscode,months,languages-basic,0.1639,typescript,0.1121,markdown,0.0607,130,0.8512,1917,0.8064,3729,0.7997,vsc-months-languages-basic,pending,"I've shamelessly copied from the [atom-typescript issue](https://github.com/TypeStrong/atom-typescript/issues/221).
To illustrate this, please [look at a followup which contains a screenshot](https://github.com/TypeStrong/atom-typescript/issues/800)
### The issue

Since backticks `` are ment for tem"
130001508,2564,[themes] Should the default theme be applied when a theme is active?,,['verified' 'debt' 'themes'],themes,,,closed,2016-01-30 15:49:34+00:00,2016-03-17 07:06:20+00:00,1119.2794444444444,Tyriar,4,1,microsoft/vscode,months,themes,0.2432,css-less-scss,0.0893,ux,0.0592,2543,0.8096,4056,0.7784,2632,0.7565,vsc-months-themes,pending,Playing around with making themes for the first time and I'm finding it a little frustrating how my styles are being overridden by the default theme due to having a lower CSS specificity. Was this intentional or am I doing it wrong? Seems like theme development would be a lot nicer if I could be as 
138111663,3663,GitHub Desktop not recognized by Visual Studio Code,,['feature-request' 'git'],git,feature-request,,closed,2016-03-03 08:34:02+00:00,2016-06-01 14:32:13+00:00,2165.969722222222,feutl,9,1,microsoft/vscode,months,git,0.1565,install-update,0.117,suggest,0.0417,2947,0.837,4690,0.8252,490,0.8015,vsc-months-git,pending,"Hi am using GitHub Desktop on my Windows Machines because it is the easiest way to interact with GitHub especially if you work with multiple tools changing files in a repo.

Now VS Code is not recognizing the installed GitHub Desktop and wants me to install git-scm again. This is already there other"
118927679,663,[php] Suggest '<?php',,['feature-request' 'php'],php,feature-request,,closed,2015-11-25 21:34:55+00:00,2016-03-16 14:24:47+00:00,2680.831111111111,ghost,5,1,microsoft/vscode,months,php,0.4692,suggest,0.1493,install-update,0.0236,3815,0.8126,2461,0.7993,3683,0.7905,vsc-months-php,pending,"When I want to type ""<?php"", auto completion dosen't suggest 'php', so I had to press Esc key to keep going."
143386371,4662,Icon to show running task in the status bar is not displaying all the time.,,['bug' 'verified' 'tasks'],tasks,bug,,closed,2016-03-24 23:24:16+00:00,2016-05-20 14:05:18+00:00,1358.683888888889,v-pavanp,3,1,microsoft/vscode,months,tasks,0.1702,ux,0.0706,suggest,0.069,4661,0.8342,4666,0.8049,4768,0.7805,vsc-months-tasks,pending,"- VSCode Version:0.10.12-alpha
- OS Version: Windows10

Steps to Reproduce:
1. launch app and open any folder which has a project with gruntfile.js.
2. Press F1 and enter "">task run"" and select option for run task like below and choose ""serve"" task from the list.
![image](https://cloud.githubusercon"
119442430,812,No Intellisense with typescript,,['info-needed' 'typescript' 'verified'],typescript,,,closed,2015-11-30 08:35:44+00:00,2016-03-14 10:29:48+00:00,2521.9011111111113,joesonw,12,1,microsoft/vscode,months,suggest,0.2278,typescript,0.0651,api,0.0464,3160,0.87,3889,0.8685,3017,0.8503,vsc-months-typescript,pending,"It went smoothly at the start. Everything stopped working after a certain point (I use default settings, so nothing about [INLINE_CODE]). No autocomplete or type hinting anymore, it's just like a regular text editor to me right now. But it has hints when i was editing[INLINE_CODE] though."
